name,price,cashback(%),location,rating,sold,status,link,image,seller
Buy 2 Vaseline Hand Body Lotion Intensive Care Aloe Vera Soothe 400ml ,Rp105.200,Cashback 5%,Dilayani Tokopedia,5.0,30+ terjual,Official Store,https://www.tokopedia.com/unilever/buy-2-vaseline-hand-body-lotion-intensive-care-aloe-vera-soothe-400ml?extParam=src%3Dshop%26whid%3D13056835,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/26/9b44bba2-d6ff-4f96-a7c8-5bfbae792a31.jpg,unilever
Buy 2 Vaseline Hand Body Lotion Healthy White UV Lightening 400ml Get ,Rp105.200,Cashback 5%,Dilayani Tokopedia,4.0,19 terjual,Official Store,https://www.tokopedia.com/unilever/buy-2-vaseline-hand-body-lotion-healthy-white-uv-lightening-400ml-get?extParam=src%3Dshop%26whid%3D13056835,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/26/b5966c7e-dfc2-4240-8a2e-26d03d670251.jpg,unilever
Buy PONDS UV PROTECT SUNSERUM SPF50+ 30gr Free PONDS ROSE MICELLAR WAT,Rp52.200,Cashback 5%,Dilayani Tokopedia,5.0,7 terjual,Official Store,https://www.tokopedia.com/unilever/buy-ponds-uv-protect-sunserum-spf50-30gr-free-ponds-rose-micellar-wat?extParam=src%3Dshop%26whid%3D13056835,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/26/51b0420d-c577-45c2-9125-c956dc2fe304.jpg,unilever
Buy 2 Ponds Bright Beauty Cream Moisturizer 40g Get UV Protect Sunseru,Rp108.100,Cashback 5%,Dilayani Tokopedia,5.0,4 terjual,Official Store,https://www.tokopedia.com/unilever/buy-2-ponds-bright-beauty-cream-moisturizer-40g-get-uv-protect-sunseru?extParam=src%3Dshop%26whid%3D13056835,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/26/580368b1-8bcf-4a71-822a-a4c250180375.jpg,unilever
FREE Zwitsal Baby Face & Body Care Cream 50Gr - Krim Bayi,Rp10.000.000,Cashback 5%,Dilayani Tokopedia,,,Official Store,https://www.tokopedia.com/unilever/free-zwitsal-baby-face-body-care-cream-50gr-krim-bayi?extParam=whid%3D13056835%26src%3Dshop,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/25/3c3f29e6-f245-4d19-88dc-9d8e716c9e0b.jpg,unilever
VASELINE REPAIRING JELLY ALOE 12X50ML FREE,Rp10.000.000,Cashback 5%,Dilayani Tokopedia,,,Official Store,https://www.tokopedia.com/unilever/vaseline-repairing-jelly-aloe-12x50ml-free?extParam=src%3Dshop%26whid%3D13056835,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2023/10/23/772450d5-c802-4678-bb43-22120bf12b8f.jpg,unilever
Buy 2 Sunlight Extra Lembut 650 ml FREE Sunlight Gentle Premium Bottle,Rp26.300,,Dilayani Tokopedia,5.0,100+ terjual,Official Store,https://www.tokopedia.com/unilever/buy-2-sunlight-extra-lembut-650-ml-free-sunlight-gentle-premium-bottle?extParam=src%3Dshop%26whid%3D13056835,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/15/bd536c0f-178c-4e66-8435-df1fb4fd028a.jpg,unilever
Special Bundle Bango Kecap Manis 520ml& Royco Ayam 220g Free Minyak 1L,Rp100.000,Cashback 5%,Dilayani Tokopedia,5.0,20 terjual,Official Store,https://www.tokopedia.com/unilever/special-bundle-bango-kecap-manis-520ml-royco-ayam-220g-free-minyak-1l?extParam=src%3Dshop%26whid%3D13056835,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/17/7f885ca2-0c87-4a86-bc84-e481b72af7ae.jpg,unilever
Wipol Karbol Lemon Pembersih Lantai Refill 750Ml Free Minyak 1L,Rp71.300,Cashback 5%,Dilayani Tokopedia,5.0,26 terjual,Official Store,https://www.tokopedia.com/unilever/wipol-karbol-lemon-pembersih-lantai-refill-750ml-free-minyak-1l?extParam=src%3Dshop%26whid%3D13056835,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/17/a807d54f-a952-4638-b4c7-58ab3f110a52.jpg,unilever
Rinso Detergent Capsule Kapsul Lavender Fresh 168g Free Lock n Lock,Rp127.900,Cashback 5%,Dilayani Tokopedia,5.0,22 terjual,Official Store,https://www.tokopedia.com/unilever/rinso-detergent-capsule-kapsul-lavender-fresh-168g-free-lock-n-lock?extParam=src%3Dshop%26whid%3D13056835,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/9/0ab81cc7-bcde-4377-9e60-5cb73dce6901.jpg,unilever
