name,price,cashback(%),seller,location,rating,sold,status,link,image
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
ASUS VIVOBOOK 14X M1403QA RYZEN 5 5600H 8GB 512SSD W11+OHS IPS 14WUXGA,Rp7.539.000,Cashback 2%,AMD Official Store,Jakarta Utara,4.9,2rb+ terjual,Official Store,https://www.tokopedia.com/amd-id/asus-vivobook-14x-m1403qa-ryzen-5-5600h-8gb-512ssd-w11-ohs-ips-14wuxga-quiet-blue-8gb-no-bundling?extParam=cmp%3D1%26ivf%3Dfalse%26src%3Dsearch,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/12/12/f884ac3c-0cb4-4ad8-ba42-e296bd650b8e.png
Asus Vivobook 14X OLED M1403QA RYZEN 5 5600H 16GB 512SSD W11+OHS 2.8K,Rp8.559.000,Cashback 2%,AMD Official Store,Jakarta Utara,5.0,100+ terjual,Official Store,https://www.tokopedia.com/amd-id/asus-vivobook-14x-oled-m1403qa-ryzen-5-5600h-16gb-512ssd-w11-ohs-2-8k-quiet-blue-standard-1ba66?extParam=cmp%3D1%26ivf%3Dfalse%26src%3Dsearch,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/8/1/1517a2b8-fea3-46b9-8f08-2a2fc8d3402c.png
ACER Nitro V 15 ANV15 51 542G RTX2050 i5 13420H 8/512GB SSD FHD 144Hz,Rp10.899.000,Cashback 3%,Acer Authorized Store Jakarta,Jakarta Utara,5.0,100+ terjual,Official Store,https://www.tokopedia.com/acer-jakarta/acer-nitro-v-15-anv15-51-542g-rtx2050-i5-13420h-8-512gb-ssd-fhd-144hz-laptop-8-512-ssd-81f47?extParam=ivf%3Dtrue%26src%3Dsearch,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/11/765f7968-b7ba-45fb-9ac3-77e00c73c5df.jpg
"MacBook Pro 2022 M2 Chip 13"" Inch 512GB 256GB RAM 8GB Grey Silver IBOX",Rp18.605.000,,Studio Ponsel,Jakarta Pusat,4.9,1rb+ terjual,Official Store,https://www.tokopedia.com/studioponsel/macbook-pro-2022-m2-chip-13-inch-512gb-256gb-ram-8gb-grey-silver-ibox-256gb-inter-space-grey?extParam=ivf%3Dfalse%26src%3Dsearch,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/8/31/686a1063-ad65-497e-8069-f881ea68adec.jpg
ACER Nitro 5 AN515-58 - RTX3050 i5-12500H 16GB 512SSD WIN11 15.6 144Hz,Rp12.564.000,Cashback 2%,Intel Gaming ID,Jakarta Utara,5.0,750+ terjual,Official Store,https://www.tokopedia.com/intelgamingid/acer-nitro-5-an515-58-rtx3050-i5-12500h-16gb-512ssd-win11-15-6-144hz-fs-ram-16gb-75084?extParam=cmp%3D1%26ivf%3Dfalse%26src%3Dsearch,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/8/4/4e1075d1-7ea6-475c-bf1e-a71001ef1d73.jpg
